Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
Wires,To make connections,2,0.38,https://robu.in/product/24awg-single-core-teflon-wire-black/,Robu.in
NEO-6M GPS Module,Global Positioning System Module. It measures speed using latitude and longitude data by connecting to various sattelites,1,2.7,https://robu.in/product/neo-6m-gps-module-with-eprom-normal-quality/,Robu.in
1.3 Inch I2C OLED Display Module,"To show speed, time, distance, and other various telemetry",1,2.9,https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/,Robu.in
Seeed Studio XIAO ESP32-S3,"MCU, It is the brain of my speedometer",1,9.66,https://robu.in/product/seeed-studio-xiao-esp32s3-2-4ghz-wifi-ble-5-0,Robu.in
